file,actual,defect_type,anomaly_score,threshold,predicted,error_type,correct
samples/day07/test/anomaly/contamination/002.png,Anomaly,contamination,0.077445,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/003.png,Anomaly,contamination,0.06756,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/004.png,Anomaly,contamination,0.072326,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/005.png,Anomaly,contamination,0.120674,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/006.png,Anomaly,contamination,0.13208,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/007.png,Anomaly,contamination,0.150021,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/008.png,Anomaly,contamination,0.157052,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/009.png,Anomaly,contamination,0.103252,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/010.png,Anomaly,contamination,0.153019,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/011.png,Anomaly,contamination,0.123795,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/012.png,Anomaly,contamination,0.132664,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/013.png,Anomaly,contamination,0.113063,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/014.png,Anomaly,contamination,0.079314,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/015.png,Anomaly,contamination,0.131326,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/016.png,Anomaly,contamination,0.105256,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/017.png,Anomaly,contamination,0.16323,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/018.png,Anomaly,contamination,0.096879,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/019.png,Anomaly,contamination,0.075731,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/020.png,Anomaly,contamination,0.109768,0.067469,Anomaly,TP,True
